     iTemp [Celsius]         iTemp [Raw]     oTemp [Celsius]         oTemp [Raw]     Delta [Celsius]         Delta [Raw]
               35.24                 446             35.5848             441.691            0.344764              4.3089
                35.5                 449             35.8248             444.941            0.324811             4.05937
               35.75                 452             36.0649             448.065            0.314868             3.93495
               36.01                 456              36.385             451.314            0.374958             4.68568
               36.27                 459              36.625             454.563            0.355036             4.43655
               36.53                 462             36.8651             457.812            0.335123             4.18755
               36.79                 465             37.1052             461.061             0.31522             3.93869
               37.05                 469             37.4254              464.31            0.375363             4.68996
               37.31                 472             37.6655             467.559            0.355481             4.44137
               37.56                 475             37.9056             470.682            0.345608             4.31785
               37.82                 478             38.1457              473.93            0.325745             4.06952
               38.08                 482             38.4659             477.179            0.385941             4.82133
               38.34                 485             38.7061             480.427            0.366099             4.57327
                38.6                 488             38.9463             483.675            0.346266             4.32535
               38.86                 491             39.1864             486.922            0.326443             4.07757
               39.12                 495             39.5067              490.17            0.386693             4.82991
               39.38                 498             39.7469             493.418            0.366891              4.5824
               39.64                 501             39.9871             496.665            0.347098             4.33502
               39.89                 504             40.2273             499.787            0.337314             4.21266
               40.15                 508             40.5476             503.034            0.397617             4.96555
               40.41                 511             40.7879             506.281            0.377855             4.71856
               40.67                 514             41.0281             509.528            0.358103             4.47172
               40.93                 517             41.2684             512.775            0.338359             4.22501
               41.19                 520             41.5086             516.022            0.318625             3.97843
               41.45                 524              41.829             519.268            0.378993             4.73199
               41.71                 527             42.0693             522.514            0.359281             4.48568
               41.97                 530             42.3096              525.76            0.339577             4.23951
               42.23                 533             42.5499             529.007            0.319883             3.99347
               42.48                 537             42.8703             532.128            0.390305             4.87241
               42.74                 540             43.1106             535.373            0.370632             4.62664
                  43                 543              43.351             538.619            0.350969               4.381
               43.26                 546             43.5913             541.864            0.331314              4.1355
               43.52                 550             43.9118              545.11             0.39179             4.89014
               43.78                 553             44.1522             548.355            0.372157              4.6449
               44.04                 556             44.3925               551.6            0.352534             4.39981
                44.3                 559             44.6329             554.845            0.332919             4.15484
               44.56                 563             44.9534              558.09            0.393448             4.91002
               44.82                 566             45.1939             561.335            0.373855             4.66532
               45.08                 569             45.4343             564.579            0.354272             4.42077
               45.34                 572             45.6747             567.824            0.334698             4.17634
                45.6                 576             45.9953             571.068             0.39528             4.93206
               45.85                 579             46.2357             574.187            0.385727             4.81268
               46.11                 582             46.4762             577.431            0.366184             4.56865
               46.37                 585             46.7166             580.675             0.34665             4.32476
               46.63                 589             47.0373             583.919            0.407285             5.08101
               46.89                 592             47.2778             587.163            0.387773             4.83739
               47.15                 595             47.5183             590.406             0.36827             4.59391
               47.41                 598             47.7588             593.649            0.348775             4.35056
               47.67                 602             48.0795             596.893            0.409464             5.10735
               47.93                 605               48.32             600.136            0.389992             4.86427
               48.19                 608             48.5605             603.379            0.370529             4.62132
               48.45                 611             48.8011             606.621            0.351075             4.37851
               48.71                 614             49.0416             609.864             0.33163             4.13584
               48.97                 618             49.3624             613.107            0.392385             4.89329
               49.23                 621              49.603             616.349            0.372961             4.65089
               49.49                 624             49.8435             619.591            0.353548             4.40862
               49.75                 627             50.0841             622.834            0.334143             4.16648
               50.01                 631              50.405             626.076            0.394951             4.92448
               50.27                 634             50.6456             629.317            0.375568             4.68261
               50.53                 637             50.8862             632.559            0.356194             4.44088
               50.79                 640             51.1268             635.801             0.33683             4.19928
               51.05                 644             51.4477             639.042            0.397691             4.95782
               51.31                 647             51.6883             642.284            0.378348             4.71649
               51.57                 650              51.929             645.525            0.359014              4.4753
               51.83                 653             52.1697             648.766             0.33969             4.23424
               52.09                 657             52.4906             652.007            0.400605             4.99332
               52.35                 660             52.7313             655.247            0.381302             4.75253
               52.61                 663              52.972             658.488            0.362009             4.51187
               52.87                 666             53.2127             661.729            0.342724             4.27135
               53.13                 669             53.4534             664.969            0.323449             4.03097
               53.39                 673             53.7744             668.209             0.38443             4.79072
               53.65                 676             54.0152             671.449            0.365177              4.5506
               53.91                 679             54.2559             674.689            0.345932             4.31062
               54.17                 682             54.4967             677.929            0.326697             4.07077
               54.43                 686             54.8177             681.169            0.387732             4.83106
               54.69                 689             55.0585             684.409            0.368519             4.59148
               54.95                 692             55.2993             687.648            0.349314             4.35204
               55.21                 695             55.5401             690.887             0.33012             4.11273
               55.47                 699             55.8612             694.126            0.391208             4.87355
               55.73                 702              56.102             697.365            0.372034             4.63451
               55.99                 705             56.3429             700.604             0.35287             4.39561
               56.25                 708             56.5837             703.843            0.333716             4.15684
               56.51                 712             56.9049             707.082            0.394857              4.9182
               56.77                 715             57.1457              710.32            0.375724              4.6797
               57.03                 718             57.3866             713.559              0.3566             4.44133
               57.29                 721             57.6275             716.797            0.337486              4.2031
               57.55                 724             57.8684             720.035            0.318381               3.965
               57.81                 728             58.1896             723.273            0.379588             4.72704
               58.07                 731             58.4305             726.511            0.360504             4.48921
               58.33                 734             58.6714             729.748             0.34143             4.25151
               58.59                 737             58.9124             732.986            0.322365             4.01395
               58.85                 741             59.2336             736.223            0.383626             4.77652
               59.11                 744             59.4746             739.461            0.364582             4.53923
               59.37                 747             59.7155             742.698            0.345548             4.30208
               59.63                 750             59.9565             745.935            0.326523             4.06505
               59.89                 754             60.2778             749.172            0.387838             4.82816
               60.15                 757             60.5188             752.409            0.368834             4.59141
               60.41                 760             60.7598             755.645             0.34984             4.35479
               60.67                 763             61.0009             758.882            0.330856              4.1183
               60.93                 767             61.3222             762.118            0.392224             4.88195
               61.19                 770             61.5633             765.354            0.373261             4.64574
               61.45                 773             61.8043              768.59            0.354307             4.40965
               61.71                 776             62.0454             771.826            0.335362             4.17371
               61.98                 779             62.2864             775.187            0.306427             3.81344
               62.24                 783             62.6079             778.422            0.367861             4.57777
                62.5                 786             62.8489             781.658            0.348948             4.34223
               62.76                 789               63.09             784.893            0.330043             4.10682
               63.02                 792             63.3311             788.128            0.311148             3.87155
               63.28                 796             63.6526             791.364            0.372636             4.63641
               63.54                 799             63.8938             794.599            0.353763             4.40141
                63.8                 802             64.1349             797.833            0.334899             4.16654
               64.06                 805              64.376             801.068            0.316044             3.93181
               64.32                 809             64.6976             804.303            0.377585             4.69721
               64.58                 812             64.9388             807.537            0.358752             4.46274
               64.84                 815             65.1799             810.772            0.339928             4.22841
                65.1                 818             65.4211             814.006            0.321113             3.99422
               65.37                 821             65.6623             817.364            0.292308             3.63577
               65.63                 825             65.9839             820.598            0.353916             4.40184
               65.89                 828             66.2251             823.832            0.335132             4.16806
               66.15                 831             66.4664             827.066            0.316358              3.9344
               66.41                 834             66.7076             830.299            0.297592             3.70088
               66.67                 838             67.0293             833.533            0.359253             4.46749
               66.93                 841             67.2705             836.766             0.34051             4.23424
               67.19                 844             67.5118             839.999            0.321776             4.00112
               67.45                 847             67.7531             843.232            0.303051             3.76814
               67.71                 850             67.9943             846.465            0.284336             3.53529
               67.98                 854             68.3161             849.822            0.336063             4.17824
               68.24                 857             68.5574             853.054            0.317369             3.94566
                68.5                 860             68.7987             856.287            0.298684             3.71322
               68.76                 863               69.04             859.519            0.280009             3.48091
               69.02                 867             69.3618             862.751             0.34179             4.24874
               69.28                 870             69.6031             865.983            0.323136              4.0167
               69.54                 873             69.8445             869.215            0.304492             3.78479
                69.8                 876             70.0859             872.447            0.285857             3.55302
               70.06                 880             70.4077             875.679            0.347692             4.32138
               70.33                 883             70.6491             879.034            0.319078             3.96559
               70.59                 886             70.8905             882.266            0.300474             3.73423
               70.85                 889             71.1319             885.497             0.28188               3.503
               71.11                 892             71.3733             888.728            0.263294              3.2719
               71.37                 896             71.6952             891.959            0.325195             4.04094
               71.63                 899             71.9366              895.19            0.306631             3.81011
               71.89                 902             72.1781             898.421            0.288077             3.57941
               72.16                 905             72.4195             901.775            0.259532              3.2246
               72.42                 909             72.7415             905.006            0.321486             3.99418
               72.68                 912              72.983             908.236            0.302963             3.76389
               72.94                 915             73.2244             911.466            0.284449             3.53374
                73.2                 918             73.4659             914.696            0.265944             3.30372
               73.46                 921             73.7074             917.926            0.247448             3.07384
               73.72                 925             74.0295             921.156            0.309469             3.84409
               73.99                 928              74.271              924.51            0.280995             3.49025
               74.25                 931             74.5125             927.739            0.262531             3.26078
               74.51                 934             74.7541             930.969            0.244075             3.03143
               74.77                 938             75.0761             934.198             0.30615             3.80222
               75.03                 941             75.3177             937.427            0.287716             3.57314
               75.29                 944             75.5593             940.656            0.269292              3.3442
               75.56                 947             75.8009             944.009            0.240877             2.99121
               75.82                 951              76.123             947.237            0.303005             3.76254
               76.08                 954             76.3646             950.466            0.284612               3.534
               76.34                 957             76.6062             953.694            0.266228              3.3056
                76.6                 960             76.8479             956.923            0.247854             3.07733
               76.87                 963             77.0895             960.275            0.219489             2.72504
               77.13                 967             77.4117             963.503            0.281683             3.49705
               77.39                 970             77.6533             966.731             0.26334             3.26919
               77.65                 973              77.895             969.959            0.245006             3.04146
               77.91                 976             78.1367             973.186            0.226681             2.81386
               78.17                 980             78.4589             976.414            0.288929              3.5864
               78.44                 983             78.7006             979.765            0.260626             3.23495
                78.7                 986             78.9423             982.992            0.242332             3.00777
               78.96                 989              79.184             986.219            0.224047             2.78071
               79.22                 992             79.4258             989.446            0.205772             2.55379
               79.48                 996             79.7481             992.673            0.268087             3.32701
               79.75                 999             79.9898             996.024            0.239833             2.97626
               80.01                1002             80.2316              999.25            0.221589             2.74974
               80.27                1005             80.4734             1002.48            0.203354             2.52336
               80.53                1009             80.7957              1005.7            0.265723             3.29712
               80.79                1012             81.0375             1008.93            0.247509               3.071
               81.06                1015             81.2793             1012.28            0.219306             2.72095
               81.32                1018             81.5211              1015.5            0.201111             2.49511
               81.58                1021             81.7629             1018.73            0.182926             2.26941
               81.84                1025             82.0854             1021.96            0.245361             3.04383
               82.11                1028             82.3272             1025.31            0.217197             2.69434
               82.37                1031              82.569             1028.53            0.199044             2.46904
               82.63                1034             82.8109             1031.76            0.180899             2.24388
               82.89                1038             83.1334             1034.98            0.243387             3.01885
               83.15                1041             83.3753             1038.21            0.225264             2.79395
               83.42                1044             83.6172             1041.55            0.197151             2.44516
               83.68                1047              83.859             1044.78            0.179046             2.22053
               83.94                1050              84.101                1048            0.160952             1.99604
                84.2                1054             84.4235             1051.23            0.223506             2.77168
               84.47                1057             84.6654             1054.58            0.195433             2.42345
               84.73                1060             84.9074              1057.8            0.177369             2.19936
               84.99                1063             85.1493             1061.02            0.159315             1.97541
               85.25                1067             85.4719             1064.25            0.221923             2.75159
               85.52                1070             85.7139              1067.6             0.19389             2.40392
               85.78                1073             85.9559             1070.82            0.175867             2.18037
               86.04                1076             86.1979             1074.04            0.157853             1.95696
                86.3                1079             86.4398             1077.27            0.139848             1.73368
               86.57                1083             86.7625             1080.61            0.192523             2.38656
               86.83                1086             87.0045             1083.84             0.17454             2.16356
               87.09                1089             87.2466             1087.06            0.156567             1.94068
               87.35                1092             87.4886             1090.28            0.138602             1.71794
               87.62                1095             87.7306             1093.63            0.110647             1.37139
               87.88                1099             88.0534             1096.85            0.173389             2.14892
               88.14                1102             88.2955             1100.07            0.155455             1.92659
               88.41                1105             88.5375             1103.42            0.127531             1.58046
               88.67                1108             88.7796             1106.64            0.109617             1.35839
               88.93                1112             89.1024             1109.86            0.172412             2.13646
               89.19                1115             89.3445             1113.09            0.154519             1.91467
               89.46                1118             89.5866             1116.43            0.126636              1.5691
               89.72                1121             89.8288             1119.65            0.108762             1.34757
               89.98                1124             90.0709             1122.87           0.0908974             1.12618
               90.24                1128             90.3938              1126.1            0.153759             1.90493
               90.51                1131             90.6359             1129.44            0.125916             1.55992
               90.77                1134             90.8781             1132.66            0.108083             1.33893
               91.03                1137             91.1203             1135.88           0.0902583             1.11808
                91.3                1141             91.4432             1139.23            0.143174             1.77349
               91.56                1144             91.6854             1142.45            0.125371             1.55291
               91.82                1147             91.9276             1145.67            0.107578             1.33246
               92.09                1150             92.1698             1149.01           0.0797947            0.988294
               92.35                1153              92.412             1152.23           0.0620203             0.76812
               92.61                1157              92.735             1155.45            0.125002             1.54808
               92.87                1160             92.9772             1158.67             0.10725             1.32817
               93.14                1163             93.2195             1162.02           0.0795065            0.984561
                93.4                1166             93.4618             1165.24           0.0617727            0.764925
               93.66                1169              93.704             1168.45           0.0440481            0.545422
               93.93                1173             94.0271              1171.8           0.0970966             1.20223
               94.19                1176             94.2694             1175.02           0.0793939            0.983002
               94.45                1179             94.5117             1178.24           0.0617006            0.763904
               94.72                1182              94.754             1181.58           0.0340165            0.421136
               94.98                1186             95.0771              1184.8           0.0971191             1.20231
               95.24                1189             95.3195             1188.02           0.0794569            0.983617
               95.51                1192             95.5618             1191.36            0.051804            0.641269
               95.77                1195             95.8042             1194.58           0.0341605            0.422848
               96.03                1198             96.0465              1197.8           0.0165264             0.20456
                96.3                1202             96.3697             1201.14           0.0696954            0.862632
               96.56                1205             96.6121             1204.36           0.0520831            0.644616
               96.82                1208             96.8545             1207.57           0.0344802            0.426733
               97.09                1211             97.0969             1210.91          0.00688656           0.0852258
               97.35                1214             97.3393             1214.13           0.0106977            0.132386
               97.61                1218             97.6625             1217.35           0.0525379            0.650136
               97.88                1221              97.905             1220.69           0.0249755            0.309049
               98.14                1224             98.1474             1223.91          0.00742241            0.091842
                98.4                1227             98.3899             1227.13           0.0101213            0.125232
               98.67                1231             98.7132             1230.47           0.0431683            0.534102
               98.93                1234             98.9556             1233.68           0.0256465            0.317299
               99.19                1237             99.1981              1236.9          0.00813399             0.10063
               99.46                1240             99.4406             1240.24           0.0193691            0.239616
               99.72                1243             99.6831             1243.46           0.0368629            0.456014
               99.99                1247             100.006              1246.8           0.0164933            0.204021
              100.25                1250             100.249             1250.01         0.000978646           0.0121053
              100.51                1253             100.492             1253.23           0.0184412            0.228099
              100.78                1256             100.734             1256.57           0.0458944            0.567643
              101.04                1259             100.977             1259.78           0.0633383            0.783365
               101.3                1263               101.3                1263         8.45341e-05          0.00104547
              101.57                1266             101.543             1266.34           0.0273375            0.338079
              101.83                1269             101.785             1269.55           0.0447501            0.553397
               102.1                1272             102.028             1272.89           0.0721533             0.89224
              102.36                1276             102.351             1276.11          0.00867642            0.107287
              102.62                1279             102.594             1279.32           0.0260578              0.3222
              102.89                1282             102.837             1282.66           0.0534298            0.660624
              103.15                1285             103.079             1285.88           0.0707925            0.875266
              103.41                1288             103.322             1289.09           0.0881458             1.08978
              103.68                1292             103.645             1292.43           0.0346023            0.427779
              103.94                1295             103.888             1295.64           0.0519337            0.642017
              104.21                1298             104.131             1298.98           0.0792557            0.979739
              104.47                1301             104.373             1302.19           0.0965684             1.19371
              104.73                1304             104.616             1305.41            0.113872             1.40754
                 105                1308              104.94             1308.74           0.0602616            0.744843
              105.26                1311             105.182             1311.96            0.077543            0.958407
              105.53                1314             105.425              1315.3            0.104815             1.29543
              105.79                1317             105.668             1318.51            0.122078             1.50872
              106.06                1320             105.911             1321.85            0.149331             1.84546
              106.32                1324             106.234             1325.06           0.0856542             1.05848
              106.58                1327             106.477             1328.27            0.102886             1.27137
              106.85                1330              106.72             1331.61            0.130108             1.60769
              107.11                1333             106.963             1334.82             0.14732             1.82031
              107.38                1336             107.205             1338.16            0.174524             2.15635
              107.64                1340             107.529             1341.37             0.11078             1.36869
               107.9                1343             107.772             1344.58            0.127962             1.58091
              108.17                1346             108.015             1347.92            0.155134             1.91653
              108.43                1349             108.258             1351.13            0.172296             2.12847
               108.7                1353             108.582             1354.46            0.118499             1.46381
              108.96                1356             108.824             1357.68            0.135639             1.67548
              109.23                1359             109.067             1361.01            0.162771             2.01054
              109.49                1362              109.31             1364.22            0.179893             2.22194
              109.76                1365             109.553             1367.56            0.207005             2.55671
              110.02                1369             109.877             1370.77            0.143141             1.76785
              110.28                1372              110.12             1373.98            0.160232             1.97884
              110.55                1375             110.363             1377.31            0.187313              2.3132
              110.81                1378             110.606             1380.52            0.204385             2.52393
              111.08                1381             110.849             1383.86            0.231447               2.858
              111.34                1385             111.172             1387.07            0.167516             2.06846
              111.61                1388             111.415              1390.4            0.194557             2.40226
              111.87                1391             111.658             1393.61            0.211588             2.61244
              112.14                1394             111.901             1396.95             0.23861             2.94596
               112.4                1397             112.144             1400.16            0.255623             3.15587
              112.67                1401             112.468             1403.49            0.201625              2.4891
              112.93                1404             112.711              1406.7            0.218615             2.69875
              113.19                1407             112.954             1409.91            0.235596             2.90826
              113.46                1410             113.197             1413.24            0.262568             3.24108
              113.72                1413              113.44             1416.45            0.279531             3.45032
              113.99                1417             113.765             1419.78            0.225466             2.78285
              114.25                1420             114.008             1422.99            0.242406             2.99182
              114.52                1423             114.251             1426.32            0.269337             3.32408
              114.78                1426             114.494             1429.53            0.286259             3.53278
              115.05                1429             114.737             1432.86            0.313171             3.86475
              115.31                1433             115.061             1436.07             0.24904             3.07318
              115.58                1436             115.304              1439.4             0.27593             3.40487
              115.84                1439             115.547             1442.61            0.292811             3.61303
              116.11                1442              115.79             1445.94            0.319683             3.94444
              116.37                1445             116.033             1449.15            0.336545             4.15233
              116.64                1449             116.358             1452.48            0.282347             3.48346
               116.9                1452             116.601             1455.69            0.299187             3.69108
              117.17                1455             116.844             1459.02            0.326018             4.02193
              117.43                1458             117.087             1462.23            0.342839             4.22928
               117.7                1462             117.411             1465.56            0.288587             3.55985
              117.96                1465             117.655             1468.77            0.305386             3.76693
              118.23                1468             117.898              1472.1            0.332176             4.09722
              118.49                1471             118.141              1475.3            0.348957             4.30402
              118.76                1474             118.384             1478.63            0.375728             4.63403
              119.02                1478             118.709             1481.84            0.311409             3.84057
              119.29                1481             118.952             1485.17            0.338158              4.1703
              119.55                1484             119.195             1488.38            0.354898             4.37657
              119.82                1487             119.438             1491.71            0.381629             4.70601
              120.08                1490             119.682             1494.91             0.39835             4.91201
              120.35                1494             120.006             1498.24            0.343963             4.24118
              120.62                1497             120.249             1501.57            0.370663              4.5702
              120.88                1500             120.493             1504.78            0.387352             4.77579
              121.15                1503             120.736              1508.1            0.414033             5.10454
              121.41                1506             120.979             1511.31            0.430704             5.30986
              121.68                1510             121.304             1514.64             0.37625             4.63832
              121.94                1513             121.547             1517.84            0.392899             4.84337
              122.21                1516              121.79             1521.17            0.419539             5.17155
              122.47                1519             122.034             1524.38            0.436169             5.37633
              122.74                1522             122.277              1527.7             0.46279             5.70424
                 123                1526             122.602             1530.91             0.39827             4.90875
              123.27                1529             122.845             1534.24            0.424869             5.23637
              123.54                1532             123.089             1537.56            0.451458             5.56385
               123.8                1535             123.332             1540.77            0.468038             5.76795
              124.07                1538             123.575              1544.1            0.494609             6.09515
              124.33                1542               123.9              1547.3            0.430021             5.29898
               124.6                1545             124.143             1550.63             0.45657              5.6259
              124.86                1548             124.387             1553.83            0.473109             5.82947
              125.13                1551              124.63             1557.16            0.499639             6.15611
              125.39                1554             124.874             1560.36            0.516159              6.3594
              125.66                1558             125.198             1563.69            0.461505             5.68576
              125.93                1561             125.442             1567.01            0.488004             6.01198
              126.19                1564             125.686             1570.21            0.504493             6.21486
              126.46                1567             125.929             1573.54            0.530972              6.5408
              126.72                1570             126.173             1576.74            0.547442             6.74342
              126.99                1574             126.497             1580.07            0.492721             6.06907
              127.26                1577             126.741             1583.39            0.519169             6.39459
              127.52                1580             126.984              1586.6            0.535608              6.5968
              127.79                1583             127.228             1589.92            0.562037             6.92203
              128.05                1586             127.472             1593.12            0.578457             7.12397
              128.32                1590             127.796             1596.45            0.523669             6.44893
              128.58                1593              128.04             1599.65            0.540067              6.6506
              128.85                1596             128.284             1602.98            0.566455             6.97527
              129.12                1599             128.527              1606.3            0.592834              7.2998
              129.38                1602             128.771              1609.5            0.609204             7.50107
              129.65                1606             129.096             1612.83            0.554349             6.82532
              129.92                1609             129.339             1616.15            0.580696             7.14943
              130.18                1612             129.583             1619.35            0.597035             7.35029
              130.45                1615             129.827             1622.67            0.623363             7.67411
              130.71                1618              130.07             1625.87            0.639683              7.8747
              130.98                1622             130.395              1629.2             0.58476             7.19825
              131.25                1625             130.639             1632.52            0.611058             7.52166
              131.51                1628             130.883             1635.72            0.627346             7.72184
