     iTemp [Celsius]         iTemp [Raw]     oTemp [Celsius]         oTemp [Raw]     Delta [Celsius]         Delta [Raw]
                -400                   0                   0            -5194.39                 400             5194.39
            -202.489               -2706            -211.632            -2587.17             9.14275             118.833
            -192.069               -2561            -200.474            -2451.95             8.40497             109.051
            -181.704               -2417            -189.373            -2317.67             7.66924             99.3317
            -171.388               -2274            -178.329            -2184.25             6.94127             89.7468
            -161.118               -2133            -167.421            -2051.64             6.30308             81.3551
            -150.888               -1993             -156.57            -1919.79             5.68213             73.2149
            -140.695               -1854            -145.778            -1788.62             5.08308             65.3846
            -130.557               -1716            -135.045            -1658.37             4.48751              57.626
            -120.403               -1579            -124.371            -1528.13             3.96793             50.8679
            -110.296               -1443            -113.756            -1398.72             3.45991             44.2809
            -100.212               -1308            -103.202             -1269.8             2.98975             38.1997
            -90.1466               -1174            -92.7079            -1141.33             2.56132             32.6714
            -80.0972               -1041            -82.2746            -1013.27             2.17734             27.7276
             -70.077                -908            -71.8236            -885.795             1.74658             22.2052
            -60.0354                -776            -61.4337            -758.252              1.3983             17.7481
            -50.0185                -645            -51.1054            -631.227              1.0869              13.773
            -40.0078                -515            -40.8388            -504.487            0.830969             10.5127
            -30.0023                -385            -30.5553            -378.016            0.552908             6.98352
                 -20                -256             -20.334            -251.789            0.333962             4.21126
            -9.99955                -128            -10.1753            -125.788            0.175727             2.21234
                4.86                  62             4.93463             61.0627           0.0746313            0.937322
                5.12                  65              5.1735             64.3281           0.0535029            0.671935
                5.38                  69             5.49201             67.5933            0.112013             1.40669
                5.63                  72             5.73091             70.7328            0.100906             1.26715
                5.89                  75             5.96981             73.9978           0.0798076             1.00217
                6.15                  78             6.20872             77.2627           0.0587189             0.73732
                 6.4                  82             6.52728             80.4018            0.127281             1.59817
                6.66                  85             6.76621             83.6664            0.106214             1.33359
                6.92                  88             7.00516             86.9309           0.0851558             1.06915
                7.17                  91             7.24411             90.0696           0.0741068            0.930389
                7.43                  95             7.56272             93.3338            0.132722             1.66621
                7.68                  98             7.80169             96.4723            0.121695             1.52771
                7.94                 101             8.04068             99.7362            0.100676              1.2638
                 8.2                 104             8.27967                 103           0.0796666             1.00003
                8.45                 108             8.59833             106.138            0.148335             1.86191
                8.71                 111             8.83735             109.402            0.127347              1.5984
                8.97                 114             9.07637             112.665            0.106368             1.33503
                9.22                 117              9.3154             115.803           0.0953984              1.1973
                9.48                 121             9.63412             119.066             0.15412              1.9342
                9.74                 124             9.87317             122.329            0.133171             1.67123
                9.99                 127             10.1122             125.466            0.122232             1.53389
               10.25                 130             10.3513             128.729            0.101302             1.27119
               10.51                 134             10.6701             131.991            0.160077             2.00862
               10.76                 137             10.9092             135.128            0.149168             1.87167
               11.02                 140             11.1483             138.391            0.128268             1.60937
               11.28                 143             11.3874             141.653            0.107378             1.34721
               11.53                 147             11.7062             144.789            0.176205             2.21064
               11.79                 150             11.9453             148.051            0.155336             1.94875
               12.05                 153             12.1845             151.313            0.134477             1.68699
                12.3                 157             12.5033             154.449            0.203345             2.55081
               12.56                 160             12.7425             157.711            0.182506             2.28932
               12.82                 163             12.9817             160.972            0.161677             2.02796
               13.07                 166             13.2209             164.108            0.150857             1.89217
               13.33                 170             13.5398             167.369            0.209778             2.63108
               13.59                 173              13.779              170.63             0.18898             2.37012
               13.85                 176             14.0182             173.891             0.16819              2.1093
                14.1                 179             14.2574             177.026             0.15741             1.97403
               14.36                 183             14.5764             180.287            0.216384             2.71348
               14.62                 186             14.8156             183.547            0.195625             2.45306
               14.87                 189             15.0549             186.682            0.184875             2.31817
               15.13                 192             15.2941             189.942            0.164135             2.05802
               15.39                 196             15.6132             193.202            0.223162             2.79801
               15.64                 199             15.8524             196.336            0.212443             2.66351
                15.9                 202             16.0917             199.596            0.191733             2.40376
               16.16                 205              16.331             202.856            0.171032             2.14415
               16.42                 209             16.6501             206.115            0.230112             2.88467
               16.67                 212             16.8894             209.249            0.219433             2.75069
               16.93                 215             17.1288             212.509            0.198762             2.49148
               17.19                 218             17.3681             215.768            0.178101              2.2324
               17.44                 222             17.6872             218.901            0.247234             3.09881
                17.7                 225             17.9266              222.16            0.226595                2.84
               17.96                 228              18.166             225.419            0.205964             2.58133
               18.22                 231             18.4053             228.677            0.185343             2.32279
               18.47                 235             18.7245              231.81            0.254529             3.18971
               18.73                 238             18.9639             235.069             0.23393             2.93144
               18.99                 241             19.2033             238.327            0.213339             2.67331
               19.24                 244             19.4428             241.459            0.202758             2.54062
                19.5                 248              19.762             244.717            0.261997             3.28275
               19.76                 251             20.0014             247.975            0.241437             3.02502
               20.02                 254             20.2409             251.233            0.220886             2.76742
               20.27                 257             20.4803             254.365            0.210344             2.63524
               20.53                 261             20.7996             257.622            0.269636             3.37791
               20.79                 264             21.0391             260.879            0.249116             3.12072
               21.05                 267             21.2786             264.136            0.228605             2.86366
                21.3                 270             21.5181             267.268            0.218103               2.732
               21.56                 274             21.8374             270.525            0.277449             3.47521
               21.82                 277              22.077             273.781            0.256968             3.21855
               22.08                 280             22.3165             277.038            0.236497             2.96203
               22.33                 283              22.556             280.169            0.226035             2.83089
               22.59                 287             22.8754             283.425            0.285433             3.57463
               22.85                 290              23.115             286.681            0.264993             3.31851
               23.11                 293             23.3546             289.937            0.244562             3.06253
               23.36                 296             23.5941             293.068            0.234139              2.9319
               23.62                 300             23.9136             296.324            0.293591             3.67618
               23.88                 303             24.1532             299.579             0.27319              3.4206
               24.14                 306             24.3928             302.835            0.252799             3.16515
                24.4                 309             24.6324              306.09            0.232416             2.90984
               24.65                 313             24.9519              309.22            0.301921             3.77986
               24.91                 316             25.1916             312.475             0.28156             3.52481
               25.17                 319             25.4312              315.73            0.261208              3.2699
               25.43                 322             25.6709             318.985            0.240866             3.01513
               25.68                 326             25.9904             322.114            0.310424             3.88566
               25.94                 329             26.2301             325.369            0.290103             3.63115
                26.2                 332             26.4698             328.623            0.269791             3.37678
               26.46                 335             26.7095             331.877            0.249488             3.12254
               26.72                 339             27.0291             335.132            0.309099             3.86844
               26.97                 342             27.2688              338.26            0.298818             3.73962
               27.23                 345             27.5085             341.514            0.278546             3.48579
               27.49                 348             27.7483             344.768            0.258283             3.23208
               27.75                 352             28.0679             348.021            0.317947             3.97852
               28.01                 355             28.3077             351.275            0.297706             3.72509
               28.26                 358             28.5475             354.403            0.287474             3.59692
               28.52                 361             28.7873             357.656            0.267251             3.34375
               28.78                 365              29.107             360.909            0.326968             4.09072
               29.04                 368             29.3468             364.162            0.306767             3.83783
                29.3                 371             29.5866             367.415            0.286575             3.58507
               29.55                 374             29.8264             370.542            0.276392             3.45754
               29.81                 378             30.1462             373.795            0.336162             4.20505
               30.07                 381              30.386             377.047            0.316001             3.95269
               30.33                 384             30.6258               380.3            0.295849             3.70047
               30.59                 387             30.8657             383.552            0.275705             3.44838
               30.84                 391             31.1855             386.678            0.345529              4.3215
                31.1                 394             31.4254              389.93            0.325407             4.06968
               31.36                 397             31.6653             393.182            0.305295               3.818
               31.62                 400             31.9052             396.434            0.285192             3.56645
               31.88                 404             32.2251             399.685            0.345069             4.31503
               32.14                 407              32.465             402.936            0.324987             4.06375
               32.39                 410             32.7049             406.062            0.314915             3.93765
               32.65                 413             32.9449             409.313            0.294851             3.68663
               32.91                 417             33.2648             412.564            0.354781             4.43575
               33.17                 420             33.5047             415.815             0.33474             4.18501
               33.43                 423             33.7447             419.066            0.314707              3.9344
               33.69                 426             33.9847             422.316            0.294684             3.68392
               33.94                 430             34.3047             425.441            0.364667             4.55859
                34.2                 433             34.5447             428.692            0.344665             4.30839
               34.46                 436             34.7847             431.942            0.324673             4.05831
               34.72                 439             35.0247             435.192            0.304689             3.80837
               34.98                 443             35.3447             438.441            0.364726             4.55857
